canonical_export_path,local_uploaded_filename,preferred_instance,browser_duplicate_suffix,canonical_path_instance_count,size_bytes,manifest_size_bytes,size_matches_manifest,sha256,content_hash_instance_count,duplicate_group,duplicate_kind,detected_mime_type,recommended_extension,original_name,restored_name,conversation_reference_count,first_conversation_id,first_conversation_title,first_conversation_create_time,mapping_confidence
file-0TqL1xx7D3iFN3jo3bKR5E9b.dat,file-0TqL1xx7D3iFN3jo3bKR5E9b(1).dat,yes,yes,1,496762,496762,yes,f02b19f8479b60687ac8ef15c009102334d066e58f3032c196b55c15ff2f1310,2,SHA-f02b19f8479b,byte-identical content under different export paths,image/jpeg,.jpg,IMG_6906.jpeg,IMG_6906.jpeg,1,0351c684-c504-40c1-b542-c6fff020745d,Scientist Illustration in Pixar Style,2024-01-31T12:34:17.052997+00:00,high: export filename
file-10iXw18mziHOVlBPbx0raMsf.dat,file-10iXw18mziHOVlBPbx0raMsf(1).dat,yes,yes,2,873120,873120,yes,c5fddaef562cb81dd518111439e0df40ed27d1570db6fea5b207880b3f3a67ca,2,SHA-c5fddaef562c,same export path uploaded more than once,image/jpeg,.jpg,IMG_6837.jpeg,IMG_6837.jpeg,1,8212127e-da07-42ad-872d-4f2af492b5d3,"Jaguar Tattoo, Minimalist Style",2024-02-23T02:00:38.731557+00:00,high: export filename
file-10iXw18mziHOVlBPbx0raMsf.dat,file-10iXw18mziHOVlBPbx0raMsf(2).dat,no,yes,2,873120,873120,yes,c5fddaef562cb81dd518111439e0df40ed27d1570db6fea5b207880b3f3a67ca,2,SHA-c5fddaef562c,same export path uploaded more than once,image/jpeg,.jpg,IMG_6837.jpeg,IMG_6837.jpeg,1,8212127e-da07-42ad-872d-4f2af492b5d3,"Jaguar Tattoo, Minimalist Style",2024-02-23T02:00:38.731557+00:00,high: export filename
file-1E6EAsXetFFESiAFAstwmf.dat,file-1E6EAsXetFFESiAFAstwmf(1).dat,yes,yes,1,132222,132222,yes,47292dddd8e943a6a334c8ac3c35d3c49a8eeedfad11a00766449d38b75eed80,1,,,image/jpeg,.jpg,35078DF7-2858-43AF-A273-DD60F82D98AC.jpeg,35078DF7-2858-43AF-A273-DD60F82D98AC.jpeg,1,68913335-8488-8323-81c0-e8845f858d19,Aces,2025-08-04T22:24:54.366693+00:00,high: export filename
file-1Eb5pm91NJn6LdW0gvGmvOTU.dat,file-1Eb5pm91NJn6LdW0gvGmvOTU(1).dat,yes,yes,1,157444,157444,yes,72ec8d2a5703aad08a82ccc268b0a0e1dc1864237f1830f4fb354173372d9fdd,1,,,image/jpeg,.jpg,WIN_20240130_08_32_44_Pro.jpg,WIN_20240130_08_32_44_Pro.jpg,1,80b5b0a9-786f-42b6-8422-eaa9d90f5ca8,Cartoon Girl Illustration,2024-01-31T12:42:36.060460+00:00,high: export filename
file-1N2v2wmeoxZ2hAUb6dCvkM.dat,file-1N2v2wmeoxZ2hAUb6dCvkM(1).dat,yes,yes,1,348613,348613,yes,994bf56a76ab3cb19940f8781442651a2abe760625b06806dc84bb46d7810047,1,,,image/jpeg,.jpg,D7B70E00-82FE-4699-B41C-418398DA379B.jpeg,D7B70E00-82FE-4699-B41C-418398DA379B.jpeg,1,685eff88-8bb8-800e-83a8-270ef76f0036,DIY Flight Sim Chair,2025-06-27T20:31:05.129191+00:00,high: export filename
file-1QgGf3VwrSUHHMyPsXfXsm.dat,file-1QgGf3VwrSUHHMyPsXfXsm(1).dat,yes,yes,1,8899,8899,yes,2f32eeda016ba679c9da824c6911aee5170089054fc6987a32871fe09aaf36e6,1,,,image/png,.png,7aa1430d-4be1-44ba-bf37-bc7bcbc6d9c7.png,7aa1430d-4be1-44ba-bf37-bc7bcbc6d9c7.png,1,68a63384-c448-8332-8f79-070182bbcd04,Message rewrite suggestions,2025-08-20T20:43:49.995981+00:00,high: export filename
file-1qNUkXdoAHKMJk524W96cw.dat,file-1qNUkXdoAHKMJk524W96cw(1).dat,yes,yes,1,3984981,3984981,yes,29fccfa7d6ea13f401321e5f681a7117fed8800bc057933a65d740114aea3230,1,,,image/jpeg,.jpg,B818EE82-9309-475F-92E0-5040FD560B6B.jpeg,B818EE82-9309-475F-92E0-5040FD560B6B.jpeg,1,68a09c85-46f4-8324-8ed1-93a2c9f6aaf2,Sexy rating offer,2025-08-16T14:58:13.988428+00:00,high: export filename
file-1sG3cvVad6DuALgP5RfgHw.dat,file-1sG3cvVad6DuALgP5RfgHw(1).dat,yes,yes,1,808518,808518,yes,347bafc45f28dac77946f9bfb8b1b4f3385bc625e3a32f7442eadc1347ed521d,1,,,image/jpeg,.jpg,A6D769AA-287B-4F2A-BB0C-42548D6F4263.jpeg,A6D769AA-287B-4F2A-BB0C-42548D6F4263.jpeg,1,685eff88-8bb8-800e-83a8-270ef76f0036,DIY Flight Sim Chair,2025-06-27T20:31:05.129191+00:00,high: export filename
file-29KcaQ58yVJiWvWq8YftaSMt.dat,file-29KcaQ58yVJiWvWq8YftaSMt(1).dat,yes,yes,2,453498,453498,yes,6aa05452b29fa84d044a7b3cd746c5c3cf8469b0a2b2d65534bcace9564d4489,3,SHA-6aa05452b29f,same export path uploaded more than once,image/jpeg,.jpg,IMG_6227.jpeg,IMG_6227.jpeg,1,f80ce050-b076-4c11-8366-005cddf728b3,Logo on Wall Request,2023-11-01T21:07:41.392850+00:00,high: export filename
file-29KcaQ58yVJiWvWq8YftaSMt.dat,file-29KcaQ58yVJiWvWq8YftaSMt(2).dat,no,yes,2,453498,453498,yes,6aa05452b29fa84d044a7b3cd746c5c3cf8469b0a2b2d65534bcace9564d4489,3,SHA-6aa05452b29f,same export path uploaded more than once,image/jpeg,.jpg,IMG_6227.jpeg,IMG_6227.jpeg,1,f80ce050-b076-4c11-8366-005cddf728b3,Logo on Wall Request,2023-11-01T21:07:41.392850+00:00,high: export filename
file-2Cs75uYpArWGLS8ewijHdN.dat,file-2Cs75uYpArWGLS8ewijHdN.dat,yes,no,1,277403,277403,yes,6285b2e8962413cf8e0360ccdcb79f499339cc6979df4fc24a459945dc7406c7,1,,,image/jpeg,.jpg,6BF30DBF-3885-4E98-8CE8-B7DEC0C5E38C.jpeg,6BF30DBF-3885-4E98-8CE8-B7DEC0C5E38C.jpeg,1,68811b62-862c-800e-b14f-2b3d23187b9c,LW_Breakdown,2025-07-23T17:26:59.072900+00:00,high: export filename
