duplicate_group,sha256,instance_count,canonical_export_path_count,duplicate_class,canonical_export_paths,local_uploaded_filenames
SHA-fb4f42381c7f,fb4f42381c7f96cc79087c1773f8fdd5f6b19ade50d8fcd4beab1447c7a3a9de,4,2,same content referenced by multiple export paths,file-8XIR24v4vAiyVEgcs8vNYpHM.dat | file-9cZwkB5ND1aLUXqW4uFyKKcS.dat,file-8XIR24v4vAiyVEgcs8vNYpHM(1).dat | file-8XIR24v4vAiyVEgcs8vNYpHM.dat | file-9cZwkB5ND1aLUXqW4uFyKKcS(1).dat | file-9cZwkB5ND1aLUXqW4uFyKKcS.dat
SHA-0b8c42287a12,0b8c42287a126b2501072c795c7c59d0bed3f13338ee1c32f9092d6efb3b8acb,3,3,same content referenced by multiple export paths,file_000000001fd8622f82eb0e8e962baded.dat | file_0000000025f861f590a70a1d7545c6d3.dat | file_00000000778061f7b2ed76c736bd55b9.dat,file_000000001fd8622f82eb0e8e962baded.dat | file_0000000025f861f590a70a1d7545c6d3.dat | file_00000000778061f7b2ed76c736bd55b9.dat
SHA-4a6d44eda101,4a6d44eda101848fb2724113486ab44023b44b0d6f3189cc432913dca4b9faa9,3,3,same content referenced by multiple export paths,file_000000000b6061f7ba58fbf77dc31186.dat | file_0000000019e461f5b622d302082c6c5c.dat | file_000000008d9061f7ada2e101d52381f8.dat,file_000000000b6061f7ba58fbf77dc31186.dat | file_0000000019e461f5b622d302082c6c5c.dat | file_000000008d9061f7ada2e101d52381f8.dat
SHA-6aa05452b29f,6aa05452b29fa84d044a7b3cd746c5c3cf8469b0a2b2d65534bcace9564d4489,3,2,same content referenced by multiple export paths,file-29KcaQ58yVJiWvWq8YftaSMt.dat | file-73lzaef7bITIIrPf96HFc67v.dat,file-29KcaQ58yVJiWvWq8YftaSMt(1).dat | file-29KcaQ58yVJiWvWq8YftaSMt(2).dat | file-73lzaef7bITIIrPf96HFc67v.dat
SHA-b1e80d19b184,b1e80d19b184c503e7ba2fd6ac571f956f4bd67f21ca258e5110b9baa7f7642d,3,3,same content referenced by multiple export paths,file-EYWqKgrtLGMqM91rKrt5QF.dat | file-Lo67dMrrVoyFTcQAStbiuW.dat | file-VyuwYG8VrmqS4aYXggg6Pm.dat,file-EYWqKgrtLGMqM91rKrt5QF.dat | file-Lo67dMrrVoyFTcQAStbiuW.dat | file-VyuwYG8VrmqS4aYXggg6Pm.dat
SHA-df2088183f11,df2088183f11bb5ade80f6a6f2e84f90ac69d29411315c317ffadcd6b0b91d06,3,2,same content referenced by multiple export paths,file_00000000c000722f8995983cec0a29e0.dat | file_00000000d15c71f5ad58f38135914fa8.dat,file_00000000c000722f8995983cec0a29e0(2).dat | file_00000000c000722f8995983cec0a29e0.dat | file_00000000d15c71f5ad58f38135914fa8.dat
SHA-f77b469a82ab,f77b469a82ab248ebbbe15f991dde69d8acb9745a087f1b7cdbba8ccdac1ee5e,3,2,same content referenced by multiple export paths,file-6Gnf7ihg2RddBwxxTAr8MP.dat | file-SteHRDf1TdAQmBywV4u8C2.dat,file-6Gnf7ihg2RddBwxxTAr8MP(1).dat | file-6Gnf7ihg2RddBwxxTAr8MP.dat | file-SteHRDf1TdAQmBywV4u8C2.dat
SHA-0183fd8fd53b,0183fd8fd53bcb9f849621001dfba8bcf8027e6efee5cb92d31504f70edfcbe4,2,2,same content referenced by multiple export paths,file_00000000388c71fd8ac3891d51d8e7e8.dat | file_00000000625071f797e3b3fe2478e26b.dat,file_00000000388c71fd8ac3891d51d8e7e8.dat | file_00000000625071f797e3b3fe2478e26b.dat
SHA-01c35d4beef0,01c35d4beef00df3a2db305f43bf35c58c258f7e3cce4b3011530b18bc38c492,2,1,upload repetition,file-6DDZ4UkkkasFkbbNXvLkKy.dat,file-6DDZ4UkkkasFkbbNXvLkKy(1).dat | file-6DDZ4UkkkasFkbbNXvLkKy.dat
SHA-0405ef5109dc,0405ef5109dc2aba25b77f620a1e95b7c2d7dd32f90013b6b009d6411360a0d7,2,1,upload repetition,file-8ZepZbXArZrNffNEpBU6uW.dat,file-8ZepZbXArZrNffNEpBU6uW(1).dat | file-8ZepZbXArZrNffNEpBU6uW.dat
