export_path,category,expected_size_bytes,status,local_instance_count,local_filenames,all_sizes_match_manifest,restricted
ads.json,export metadata,2,not uploaded in this session,0,,,no
chat.html,rendered chat archive,21585931,not uploaded in this session,0,,,no
conversation_asset_file_names.json,export metadata,55956,present,1,conversation_asset_file_names(1).json,yes,no
conversations-000.json,conversation data,1052437,present,1,conversations-000(2).json,yes,no
conversations-001.json,conversation data,1300484,present,1,conversations-001(2).json,yes,no
conversations-002.json,conversation data,4652243,present,1,conversations-002(2).json,yes,no
conversations-003.json,conversation data,9552956,present,1,conversations-003(1).json,yes,no
conversations-004.json,conversation data,9054177,present,1,conversations-004(1).json,yes,no
conversations-005.json,conversation data,828657,present,1,conversations-005(1).json,yes,no
conversations-006.json,conversation data,165068,present,1,conversations-006(1).json,yes,no
file-0TqL1xx7D3iFN3jo3bKR5E9b.dat,asset,496762,present,1,file-0TqL1xx7D3iFN3jo3bKR5E9b(1).dat,yes,no
file-10iXw18mziHOVlBPbx0raMsf.dat,asset,873120,present,2,file-10iXw18mziHOVlBPbx0raMsf(1).dat | file-10iXw18mziHOVlBPbx0raMsf(2).dat,yes,no
file-1E6EAsXetFFESiAFAstwmf.dat,asset,132222,present,1,file-1E6EAsXetFFESiAFAstwmf(1).dat,yes,no
file-1Eb5pm91NJn6LdW0gvGmvOTU.dat,asset,157444,present,1,file-1Eb5pm91NJn6LdW0gvGmvOTU(1).dat,yes,no
file-1N2v2wmeoxZ2hAUb6dCvkM.dat,asset,348613,present,1,file-1N2v2wmeoxZ2hAUb6dCvkM(1).dat,yes,no
file-1QgGf3VwrSUHHMyPsXfXsm.dat,asset,8899,present,1,file-1QgGf3VwrSUHHMyPsXfXsm(1).dat,yes,no
file-1qNUkXdoAHKMJk524W96cw.dat,asset,3984981,present,1,file-1qNUkXdoAHKMJk524W96cw(1).dat,yes,no
file-1sG3cvVad6DuALgP5RfgHw.dat,asset,808518,present,1,file-1sG3cvVad6DuALgP5RfgHw(1).dat,yes,no
file-29KcaQ58yVJiWvWq8YftaSMt.dat,asset,453498,present,2,file-29KcaQ58yVJiWvWq8YftaSMt(1).dat | file-29KcaQ58yVJiWvWq8YftaSMt(2).dat,yes,no
file-2Cs75uYpArWGLS8ewijHdN.dat,asset,277403,present,1,file-2Cs75uYpArWGLS8ewijHdN.dat,yes,no
file-2SnHjqrLoZYrnSjvpzoNp5.dat,asset,4048673,present,1,file-2SnHjqrLoZYrnSjvpzoNp5.dat,yes,no
file-2XrxPFJCqrVobrGnCZ9Ys5.dat,asset,415107,present,1,file-2XrxPFJCqrVobrGnCZ9Ys5.dat,yes,no
file-2dLJdH1cigE4igxZaRkVRo.dat,asset,2583817,present,1,file-2dLJdH1cigE4igxZaRkVRo.dat,yes,no
file-2sXDwuQ9yiYr6DBZoLjuGV.dat,asset,429520,present,1,file-2sXDwuQ9yiYr6DBZoLjuGV.dat,yes,no
file-33ZpBk76dxvZxreHCGNGJR.dat,asset,152908,present,2,file-33ZpBk76dxvZxreHCGNGJR(1).dat | file-33ZpBk76dxvZxreHCGNGJR.dat,yes,no
file-3Amzum7XNisgp5Aarp5rBM.dat,asset,254634,present,1,file-3Amzum7XNisgp5Aarp5rBM.dat,yes,no
file-3Fjua1cYJLN2iePE5hHdPA.dat,asset,263850,present,1,file-3Fjua1cYJLN2iePE5hHdPA.dat,yes,no
file-3MY8pFbrPCnEGv1vFoh1dU.dat,asset,262123,present,1,file-3MY8pFbrPCnEGv1vFoh1dU.dat,yes,no
file-3SWcmzY1Xx8Ar21koK3rFz.dat,asset,4069602,present,1,file-3SWcmzY1Xx8Ar21koK3rFz.dat,yes,no
file-3b34fQv2mDdUFpNaBhtk6z.dat,asset,162265,present,1,file-3b34fQv2mDdUFpNaBhtk6z.dat,yes,no
file-3cCzWunvqSRGaawFUGj7L8.dat,asset,315752,present,1,file-3cCzWunvqSRGaawFUGj7L8.dat,yes,no
file-3gZjiFc3CWmh5Wahp3aCLM.dat,asset,25928,present,1,file-3gZjiFc3CWmh5Wahp3aCLM.dat,yes,no
file-3iL9EyEHwpmy2HzJ5w62Dx.dat,asset,266613,present,1,file-3iL9EyEHwpmy2HzJ5w62Dx.dat,yes,no
file-4GoZYQVVNr8J7D5Fakvytt.dat,asset,167809,present,1,file-4GoZYQVVNr8J7D5Fakvytt.dat,yes,no
file-4pZLtEzTFSNaMxitaVnuth.dat,asset,266847,present,1,file-4pZLtEzTFSNaMxitaVnuth.dat,yes,no
file-4qgcxyW5iWGAit5qTQAcFf.dat,asset,2993549,present,1,file-4qgcxyW5iWGAit5qTQAcFf.dat,yes,no
file-4rFzDofFvsC6tyu4AYdvpz.dat,asset,560739,present,1,file-4rFzDofFvsC6tyu4AYdvpz.dat,yes,no
file-5KVPxYp9999gyTWzDwJ2oX33.dat,asset,378696,present,1,file-5KVPxYp9999gyTWzDwJ2oX33.dat,yes,no
file-5KfhME8jy5VX1xzK9bGujK.dat,asset,16346,present,1,file-5KfhME8jy5VX1xzK9bGujK.dat,yes,no
file-5M8pCivgvBwAeijLmjwfRK.dat,asset,157707,present,1,file-5M8pCivgvBwAeijLmjwfRK.dat,yes,no
file-5N3gq8pfmBjBVvi2ygUQwm.dat,asset,243428,present,1,file-5N3gq8pfmBjBVvi2ygUQwm.dat,yes,no
file-5hqPN2p15KKpnxijqMv1KZ.dat,asset,443220,present,1,file-5hqPN2p15KKpnxijqMv1KZ.dat,yes,no
file-5jRVUgs59T3Rw6iYgPCJtV.dat,asset,3826176,present,1,file-5jRVUgs59T3Rw6iYgPCJtV.dat,yes,no
file-61cVsGuCn2qEjMaUUEsfeH.dat,asset,256918,present,1,file-61cVsGuCn2qEjMaUUEsfeH.dat,yes,no
file-64AUr178spdKCiZHXq3pUr.dat,asset,23339,present,1,file-64AUr178spdKCiZHXq3pUr.dat,yes,no
file-65k2Y3jFNuBJUz59QNfXX4.dat,asset,440809,present,1,file-65k2Y3jFNuBJUz59QNfXX4.dat,yes,no
